PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DCQN9P,,2025-09-10T06:21:52.065+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQNGN,,2025-09-10T06:22:25.266+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQPJC,,2025-09-10T06:26:12.105+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCQPW8,,2025-09-10T06:27:19.510+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQPML,,2025-09-10T06:26:30.024+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
G58IWM,,2025-09-10T05:49:52.702+00:00,,Galileo,,Ticketed,TRUE,,
DCQRFL,,2025-09-10T06:32:31.983+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQRJT,,2025-09-10T06:32:54.681+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQQHG,,2025-09-10T06:29:23.246+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRJ1X,,2025-09-10T07:43:12.617+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQRTD,,2025-09-10T06:33:53.391+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQT73,,2025-09-10T06:38:20.685+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
B43C5M,,2025-09-10T05:57:10.960+00:00,,Galileo,,Ticketed,TRUE,,
DCQT5K,,2025-09-10T06:38:09.776+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCQVV6,,2025-09-10T06:43:36.234+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
H3TLJP,,2025-09-10T06:02:19.718+00:00,,Galileo,,Ticketed,TRUE,,
DCQW67,,2025-09-10T06:44:42.969+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQXZX,,2025-09-10T06:50:32.968+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQYK3,,2025-09-10T06:52:16.357+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCQZS6,,2025-09-10T06:56:01.571+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQZSP,,2025-09-10T06:56:04.319+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
