SP_PNR,AIRLINE_PNR,BOOKING_DATE
CLW9TQ,75HOU8,2025-06-20 14:17:43
CLWB1G,143M8Y,2025-06-20 14:18:31
CLWB2N,75HOPZ,2025-06-20 14:18:36
CLW4JY,08AFXX,2025-06-20 14:19:44
CLWBM2,,2025-06-20 14:20:25
CLWBXC,75HTAZ,2025-06-20 14:21:28
CLWBXM,F56BZW,2025-06-20 14:21:31
CLWC8N,143M8R,2025-06-20 14:22:43
CLWCJH,GLNSIB,2025-06-20 14:23:37
CLWBBD,,2025-06-20 14:24:57
CLWD0M,143M8T,2025-06-20 14:25:11
CLWD2V,75KQXD,2025-06-20 14:25:25
CLWBBD,,2025-06-20 14:25:53
CLWDNC,75JJLO,2025-06-20 14:27:22
CLWDV7,75K4DA,2025-06-20 14:28:01
CLWF5K,75JWJB,2025-06-20 14:29:04
CLWFB0,143M96,2025-06-20 14:29:34
CLWFD9,75JZJP,2025-06-20 14:29:50
CLWFFN,1359DQ,2025-06-20 14:29:58
CLW79G,75FN7C,2025-06-20 14:30:31
CLWG4T,143M9A,2025-06-20 14:32:26
CLWGFP,75LITJ,2025-06-20 14:33:23
CLWGMS,F5978Z,2025-06-20 14:34:03
CLWGQQ,GMUNWR,2025-06-20 14:34:24
CLWGQW,QJGWSQ,2025-06-20 14:34:25
CLWGS4,75L8X8,2025-06-20 14:34:36
CLWGS5,GKOOSD,2025-06-20 14:34:37
CLWGTZ,75KPU9,2025-06-20 14:34:44
CLWHG0,GLJJQZ,2025-06-20 14:36:48
CLWHK6,SYYAAX,2025-06-20 14:37:10
CLLB65,9V2928,2025-06-20 14:38:37
CLVWQ4,,2025-06-20 14:38:55
CLWJ5T,75NWJF,2025-06-20 14:39:20
CLWJCR,IIVS3B,2025-06-20 14:39:58
CLWJGT,75MKR5,2025-06-20 14:40:19
CLWJWB,,2025-06-20 14:41:43
CLWJWB,,2025-06-20 14:41:43
CLWKFZ,1359EC,2025-06-20 14:43:40
CLWKHJ,75MW8V,2025-06-20 14:43:50
CLWL0X,,2025-06-20 14:45:38
CLWL0X,,2025-06-20 14:45:38
CLWLLN,75P3ZP,2025-06-20 14:47:33
CLWLVP,143MA2,2025-06-20 14:48:18
CLWMKJ,75OPE9,2025-06-20 14:50:18
CLWJP6,,2025-06-20 14:50:18
CLWMN3,98H2U4,2025-06-20 14:50:32
CLWMPZ,,2025-06-20 14:50:42
CLWMPZ,,2025-06-20 14:50:42
CLWMYS,75NYDO,2025-06-20 14:51:26
CLWCS7,75KG3M,2025-06-20 14:52:47
CLWL0V,75MOCI,2025-06-20 14:52:51
CLWL0V,,2025-06-20 14:52:51
CLWNPK,75PNCB,2025-06-20 14:53:54
CLWNV6,,2025-06-20 14:54:24
CLWNXN,75Q684,2025-06-20 14:54:40
CLWP7J,143MAK,2025-06-20 14:55:46
CLWPCD,143MAL,2025-06-20 14:56:09
CLWGFP,,2025-06-20 14:56:59
CLWPYN,75PMWG,2025-06-20 14:58:03
CLWQ5D,75PUII,2025-06-20 14:58:50
CLWL75,75OLAK,2025-06-20 14:59:28
CLWRML,75RRCX,2025-06-20 15:03:43
CLWRY1,75RA8R,2025-06-20 15:04:47
CLWSH5,75QW8C,2025-06-20 15:06:51
